left_image;right_image;trial_type;correct_response;category;task
stimuli/experimental/ild_orange.png;stimuli/experimental/sne_blå.png;congruent;right;mood;snowflake
stimuli/experimental/ild_blå.png;stimuli/experimental/sne_orange.png;incongruent;right;mood;snowflake
stimuli/experimental/sol_gul.png;stimuli/experimental/sky_grå.png;congruent;left;mood;sun
stimuli/experimental/sol_grå.png;stimuli/experimental/sky_gul.png;incongruent;right;mood;cloud
stimuli/experimental/peber_hvid.png;stimuli/experimental/salt_sort.png;incongruent;left;food;pepper
stimuli/experimental/salt_hvid.png;stimuli/experimental/peber_sort.png;congruent;right;food;pepper
stimuli/experimental/and_gul.png;stimuli/experimental/delfin_blå.png;congruent;right;animal;dolphin
stimuli/experimental/and_blå.png;stimuli/experimental/delfin_gul.png;incongruent;left;animal;duck
stimuli/experimental/banan_gul.png;stimuli/experimental/æble_rød.png;congruent;right;food;apple
stimuli/experimental/æble_gul.png;stimuli/experimental/banan_rød.png;incongruent;left;food;apple
stimuli/experimental/aubergine_lilla.png;stimuli/experimental/citron_gul.png;congruent;left;food;eggplant
stimuli/experimental/citron_lilla.png;stimuli/experimental/aubergine_gul.png;incongruent;left;food;lemon
stimuli/experimental/choko_brun.png;stimuli/experimental/jordbær_rød.png;congruent;right;food;strawberry
stimuli/experimental/choko_rød.png;stimuli/experimental/jordbær_brun.png;incongruent;right;food;strawberry
stimuli/experimental/krabbe_rød.png;stimuli/experimental/egern_brun.png;congruent;right;animal;squirrel
stimuli/experimental/egern_rød.png;stimuli/experimental/krabbe_brun.png;incongruent;right;animal;crab
stimuli/experimental/elefant_grå.png;stimuli/experimental/flamingo_pink.png;congruent;left;animal;elephant
stimuli/experimental/elefant_pink.png;stimuli/experimental/flamingo_grå.png;incongruent;left;animal;elephant
stimuli/experimental/glad_grøn.png;stimuli/experimental/sur_rød.png;congruent;left;mood;happy_face
stimuli/experimental/sur_grøn.png;stimuli/experimental/glad_rød.png;incongruent;right;mood;happy_face
stimuli/experimental/lidt_strøm_grøn.png;stimuli/experimental/meget_strøm_rød.png;incongruent;right;mood;full_battery
stimuli/experimental/lidt_strøm_rød.png;stimuli/experimental/meget_strøm_grøn.png;congruent;left;mood;low_battery
stimuli/experimental/svane_hvid.png;stimuli/experimental/slange_grøn.png;congruent;left;animal;swan
stimuli/experimental/slange_hvid.png;stimuli/experimental/svane_grøn.png;incongruent;left;animal;snake
stimuli/experimental/sne.png;stimuli/experimental/ild.png;neutral;left;mood;snowflake
stimuli/experimental/sky.png;stimuli/experimental/sol.png;neutral;right;mood;sun
stimuli/experimental/peber.png;stimuli/experimental/salt.png;neutral;right;food;salt
stimuli/experimental/delfin.png;stimuli/experimental/and.png;neutral;left;animal;dolphin
stimuli/experimental/æble.png;stimuli/experimental/banan.png;neutral;right;food;banana
stimuli/experimental/aubergine.png;stimuli/experimental/citron.png;neutral;right;food;lemon
stimuli/experimental/jordbær.png;stimuli/experimental/choko.png;neutral;left;food;strawberry
stimuli/experimental/krabbe.png;stimuli/experimental/egern.png;neutral;left;animal;crab
stimuli/experimental/flamingo.png;stimuli/experimental/elefant.png;neutral;left;animal;flamingo
stimuli/experimental/glad.png;stimuli/experimental/sur.png;neutral;left;mood;happy_face
stimuli/experimental/fuld_batteri.png;stimuli/experimental/lav_batteri.png;neutral;right;mood;low_battery
stimuli/experimental/svane.png;stimuli/experimental/slange.png;neutral;right;animal;snake
stimuli/experimental/frø.png;stimuli/experimental/bi.png;neutral;right;animal;bee
stimuli/experimental/bretzel.png;stimuli/experimental/avo.png;neutral;left;food;pretzel
stimuli/experimental/hjerte.png;stimuli/experimental/clover.png;neutral;right;mood;clover
stimuli/experimental/diamant.png;stimuli/experimental/krone.png;neutral;left;mood;diamond
stimuli/experimental/hummer.png;stimuli/experimental/skildpadde.png;neutral;right;animal;turtle
stimuli/experimental/læber.png;stimuli/experimental/penge.png;neutral;right;mood;money
stimuli/experimental/frø_grøn.png;stimuli/experimental/bi_gul.png;congruent;left;animal;frog
stimuli/experimental/frø_gul.png;stimuli/experimental/bi_grøn.png;incongruent;right;animal;bee
stimuli/experimental/bretzel_brun.png;stimuli/experimental/avo_grøn.png;congruent;left;food;pretzel
stimuli/experimental/avo_brun.png;stimuli/experimental/bretzel_grøn.png;incongruent;right;food;pretzel
stimuli/experimental/hjerte_grøn.png;stimuli/experimental/clover_rød.png;incongruent;left;mood;heart
stimuli/experimental/clover_grøn.png;stimuli/experimental/hjerte_rød.png;congruent;right;mood;heart
stimuli/experimental/krone_gul.png;stimuli/experimental/diamant_blå.png;congruent;left;mood;crown
stimuli/experimental/krone_blå.png;stimuli/experimental/diamant_gul.png;incongruent;right;mood;diamond
stimuli/experimental/hummer_rød.png;stimuli/experimental/skildpadde_grøn.png;congruent;left;animal;lobster
stimuli/experimental/hummer_grøn.png;stimuli/experimental/skildpadde_rød.png;incongruent;right;animal;turtle
stimuli/experimental/læber_grøn.png;stimuli/experimental/penge_rød.png;incongruent;left;mood;lips
stimuli/experimental/penge_grøn.png;stimuli/experimental/læber_rød.png;congruent;right;mood;lips